Pista objetivo, Firma Identificada, Id de pista, Confianza, Inicio de firma, Alineacion ,
/home/nego/Escritorio/mp3/2016-mie-abr-27-1938.mp3, RADIO NMP VERSION TASA BAJA LAURA,1,2,15.78957,340, 
/home/nego/Escritorio/mp3/2016-mie-abr-27-2310.mp3, RADIO NMP VERSION TASA BAJA LAURA,1,1,2.46132,53, 
/home/nego/Escritorio/mp3/2016-mie-abr-27-2221.mp3, RADIO NMP VERSION TASA BAJA LAURA,1,2,8.21986,177, 
/home/nego/Escritorio/mp3/2016-mie-abr-27-1910.mp3, RADIO NMP VERSION TASA BAJA LAURA,1,1,10.03102,216, 
/home/nego/Escritorio/mp3/2016-mie-abr-27-1914.mp3, RADIO NMP VERSION TASA BAJA LAURA,1,1,4.08671,88, 
/home/nego/Escritorio/mp3/2016-mie-abr-27-2248.mp3, RADIO NMP VERSION TASA BAJA LAURA,1,2,4.73687,102, 
/home/nego/Escritorio/mp3/2016-mie-abr-27-2049.mp3, RADIO NMP VERSION TASA BAJA LAURA,1,3,9.98458,215, 
/home/nego/Escritorio/mp3/2016-mie-abr-27-2151.mp3, RADIO NMP VERSION TASA BAJA LAURA,1,1,8.0341,173, 
/home/nego/Escritorio/mp3/2016-mie-abr-27-2018.mp3, RADIO NMP VERSION TASA BAJA LAURA,1,1,8.0341,173, 
/home/nego/Escritorio/mp3/2016-mie-abr-27-2327.mp3, RADIO NMP VERSION TASA BAJA LAURA,1,3,16.85769,363, 
/home/nego/Escritorio/mp3/2016-mie-abr-27-2225.mp3, RADIO NMP VERSION TASA BAJA LAURA,1,1,3.34367,72, 
/home/nego/Escritorio/mp3/2016-mie-abr-27-2010.mp3, RADIO NMP VERSION TASA BAJA LAURA,1,1,3.25079,70, 
/home/nego/Escritorio/mp3/2016-mie-abr-27-1804.mp3, RADIO NMP VERSION TASA BAJA LAURA,1,2,12.16726,262, 
/home/nego/Escritorio/mp3/2016-mie-abr-27-2217.mp3, RADIO NMP VERSION TASA BAJA LAURA,1,1,9.00934,194, 
/home/nego/Escritorio/mp3/2016-mie-abr-27-2307.mp3, RADIO NMP VERSION TASA BAJA LAURA,1,2,0.32508,7, 
/home/nego/Escritorio/mp3/2016-mie-abr-27-2022.mp3, RADIO NMP VERSION TASA BAJA LAURA,1,2,6.36227,137, 
/home/nego/Escritorio/mp3/2016-mie-abr-27-2147.mp3, RADIO NMP VERSION TASA BAJA LAURA,1,2,10.72762,231, 
/home/nego/Escritorio/mp3/2016-mie-abr-27-2131.mp3, RADIO NMP VERSION TASA BAJA LAURA,1,1,2.41488,52, 
/home/nego/Escritorio/mp3/2016-mie-abr-27-1810.mp3, RADIO NMP VERSION TASA BAJA LAURA,1,1,12.77098,275, 
/home/nego/Escritorio/mp3/2016-mie-abr-27-1814.mp3, RADIO NMP VERSION TASA BAJA LAURA,1,1,1.57896,34, 
/home/nego/Escritorio/mp3/2016-mie-abr-27-2122.mp3, RADIO NMP VERSION TASA BAJA LAURA,1,1,11.14558,240, 
/home/nego/Escritorio/mp3/2016-mie-abr-27-2046.mp3, RADIO NMP VERSION TASA BAJA LAURA,1,1,1161,25, 
/home/nego/Escritorio/mp3/2016-mie-abr-27-1913.mp3, RADIO NMP VERSION TASA BAJA LAURA,1,1,16.57905,357, 
